"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","60",""
"Albania","2012","111",""
"Algeria","2012","98",""
"Andorra","2012","81",""
"Angola","2012","47",""
"Antigua and Barbuda","2012","143",""
"Argentina","2012","152",""
"Armenia","2012","112",""
"Australia","2012","106",""
"Austria","2012","161",""
"Azerbaijan","2012","109",""
"Bahamas","2012","81",""
"Bahrain","2012","161",""
"Bangladesh","2012","63",""
"Barbados","2012","123",""
"Belarus","2012","114",""
"Belgium","2012","111",""
"Belize","2012","53",""
"Benin","2012","84",""
"Bhutan","2012","76",""
"Bolivia (Plurinational State of)","2012","90",""
"Bosnia and Herzegovina","2012","88",""
"Botswana","2012","154",""
"Brazil","2012","125",""
"Brunei Darussalam","2012","114",""
"Bulgaria","2012","148",""
"Burkina Faso","2012","61",""
"Burundi","2012","23",""
"Cabo Verde","2012","86",""
"Cambodia","2012","129",""
"Cameroon","2012","60",""
"Canada","2012","80",""
"Central African Republic","2012","25",""
"Chad","2012","35",""
"Chile","2012","138",""
"China","2012","80",""
"Colombia","2012","103",""
"Comoros","2012","40",""
"Congo","2012","99",""
"Costa Rica","2012","112",""
"Côte d’Ivoire","2012","91",""
"Croatia","2012","115",""
"Cuba","2012","15",""
"Cyprus","2012","98",""
"Czech Republic","2012","127",""
"Democratic People's Republic of Korea","2012","7",""
"Democratic Republic of the Congo","2012","31",""
"Denmark","2012","118",""
"Djibouti","2012","25",""
"Dominica","2012","152",""
"Dominican Republic","2012","87",""
"Ecuador","2012","106",""
"Egypt","2012","120",""
"El Salvador","2012","137",""
"Equatorial Guinea","2012","68",""
"Eritrea","2012","5",""
"Estonia","2012","160",""
"Ethiopia","2012","22",""
"Fiji","2012","98",""
"Finland","2012","172",""
"France","2012","97",""
"Gabon","2012","179",""
"Gambia","2012","85",""
"Georgia","2012","108",""
"Germany","2012","112",""
"Ghana","2012","101",""
"Greece","2012","120",""
"Grenada","2012","121",""
"Guatemala","2012","138",""
"Guinea","2012","42",""
"Guinea-Bissau","2012","63",""
"Guyana","2012","69",""
"Haiti","2012","60",""
"Honduras","2012","93",""
"Hungary","2012","116",""
"Iceland","2012","108",""
"India","2012","70",""
"Indonesia","2012","114",""
"Iran (Islamic Republic of)","2012","76",""
"Iraq","2012","82",""
"Ireland","2012","107",""
"Israel","2012","121",""
"Italy","2012","160",""
"Jamaica","2012","96",""
"Japan","2012","111",""
"Jordan","2012","128",""
"Kazakhstan","2012","186",""
"Kenya","2012","71",""
"Kiribati","2012","16",""
"Kuwait","2012","157",""
"Kyrgyzstan","2012","124",""
"Lao People's Democratic Republic","2012","65",""
"Latvia","2012","112",""
"Lebanon","2012","81",""
"Lesotho","2012","75",""
"Liberia","2012","57",""
"Libya","2012","156",""
"Lithuania","2012","165",""
"Luxembourg","2012","145",""
"Madagascar","2012","39",""
"Malawi","2012","29",""
"Malaysia","2012","141",""
"Maldives","2012","166",""
"Mali","2012","98",""
"Malta","2012","127",""
"Mauritania","2012","106",""
"Mauritius","2012","120",""
"Mexico","2012","83",""
"Micronesia (Federated States of)","2012","30",""
"Monaco","2012","88",""
"Mongolia","2012","121",""
"Montenegro","2012","181",""
"Morocco","2012","120",""
"Mozambique","2012","36",""
"Myanmar","2012","10",""
"Namibia","2012","95",""
"Nauru","2012","68",""
"Nepal","2012","60",""
"Netherlands","2012","118",""
"New Zealand","2012","110",""
"Nicaragua","2012","86",""
"Niger","2012","31",""
"Nigeria","2012","67",""
"Norway","2012","117",""
"Oman","2012","159",""
"Pakistan","2012","67",""
"Palau","2012","83",""
"Panama","2012","178",""
"Papua New Guinea","2012","38",""
"Paraguay","2012","102",""
"Peru","2012","98",""
"Philippines","2012","107",""
"Poland","2012","140",""
"Portugal","2012","116",""
"Qatar","2012","127",""
"Republic of Korea","2012","109",""
"Republic of Moldova","2012","102",""
"Romania","2012","105",""
"Russian Federation","2012","183",""
"Rwanda","2012","50",""
"Saint Kitts and Nevis","2012","157",""
"Saint Lucia","2012","126",""
"Saint Vincent and the Grenadines","2012","124",""
"San Marino","2012","115",""
"Sao Tome and Principe","2012","65",""
"Saudi Arabia","2012","187",""
"Senegal","2012","84",""
"Serbia","2012","96",""
"Seychelles","2012","148",""
"Sierra Leone","2012","37",""
"Singapore","2012","152",""
"Slovakia","2012","112",""
"Slovenia","2012","109",""
"Solomon Islands","2012","55",""
"Somalia","2012","23",""
"South Africa","2012","131",""
"South Sudan","2012","21",""
"Spain","2012","108",""
"Sri Lanka","2012","92",""
"Sudan","2012","74",""
"Suriname","2012","106",""
"Swaziland","2012","65",""
"Sweden","2012","125",""
"Switzerland","2012","130",""
"Syrian Arab Republic","2012","59",""
"Tajikistan","2012","82",""
"Thailand","2012","127",""
"The former Yugoslav Republic of Macedonia","2012","106",""
"Timor-Leste","2012","56",""
"Togo","2012","50",""
"Tonga","2012","53",""
"Trinidad and Tobago","2012","141",""
"Tunisia","2012","118",""
"Turkey","2012","91",""
"Turkmenistan","2012","76",""
"Tuvalu","2012","28",""
"Uganda","2012","45",""
"Ukraine","2012","130",""
"United Arab Emirates","2012","150",""
"United Kingdom","2012","135",""
"United Republic of Tanzania","2012","57",""
"United States of America","2012","95",""
"Uruguay","2012","147",""
"Uzbekistan","2012","71",""
"Vanuatu","2012","59",""
"Venezuela (Bolivarian Republic of)","2012","102",""
"Viet Nam","2012","148",""
"Yemen","2012","58",""
"Zambia","2012","75",""
"Zimbabwe","2012","92",""

