"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","1560",""
"Albania","2012","9280",""
"Algeria","2012","8360",""
"Angola","2012","5400",""
"Antigua and Barbuda","2012","18920",""
"Armenia","2012","8820",""
"Australia","2012","43300",""
"Austria","2012","43390",""
"Azerbaijan","2012","9310",""
"Bahamas","2012","29020",""
"Bangladesh","2012","2030",""
"Barbados","2012","25670",""
"Belarus","2012","14960",""
"Belgium","2012","39860",""
"Belize","2012","7630",""
"Benin","2012","1550",""
"Bhutan","2012","6200",""
"Bolivia (Plurinational State of)","2012","4880",""
"Bosnia and Herzegovina","2012","9650",""
"Botswana","2012","16060",""
"Brazil","2012","11530",""
"Bulgaria","2012","15450",""
"Burkina Faso","2012","1490",""
"Burundi","2012","550",""
"Cabo Verde","2012","4930",""
"Cambodia","2012","2330",""
"Cameroon","2012","2270",""
"Canada","2012","42530",""
"Central African Republic","2012","1080",""
"Chad","2012","1620",""
"Chile","2012","21310",""
"China","2012","9040",""
"Colombia","2012","9990",""
"Comoros","2012","1210",""
"Congo","2012","3450",""
"Costa Rica","2012","12500",""
"Côte d’Ivoire","2012","1920",""
"Croatia","2012","20200",""
"Cyprus","2012","29840",""
"Czech Republic","2012","24720",""
"Democratic Republic of the Congo","2012","390",""
"Denmark","2012","43430",""
"Dominica","2012","11980",""
"Dominican Republic","2012","9660",""
"Ecuador","2012","9490",""
"Egypt","2012","6450",""
"El Salvador","2012","6720",""
"Equatorial Guinea","2012","18570",""
"Eritrea","2012","550",""
"Estonia","2012","22500",""
"Ethiopia","2012","1110",""
"Fiji","2012","4690",""
"Finland","2012","38220",""
"France","2012","36720",""
"Gabon","2012","14090",""
"Gambia","2012","1830",""
"Georgia","2012","5770",""
"Germany","2012","42230",""
"Ghana","2012","1910",""
"Greece","2012","25460",""
"Grenada","2012","10350",""
"Guatemala","2012","4880",""
"Guinea","2012","970",""
"Guinea-Bissau","2012","1100",""
"Guyana","2012","3340",""
"Haiti","2012","1220",""
"Honduras","2012","3880",""
"Hungary","2012","20710",""
"Iceland","2012","33480",""
"India","2012","3910",""
"Indonesia","2012","4730",""
"Iraq","2012","4230",""
"Ireland","2012","35670",""
"Italy","2012","32920",""
"Japan","2012","36300",""
"Jordan","2012","5980",""
"Kazakhstan","2012","11780",""
"Kenya","2012","1730",""
"Kiribati","2012","3870",""
"Kyrgyzstan","2012","2230",""
"Lao People's Democratic Republic","2012","2690",""
"Latvia","2012","21920",""
"Lebanon","2012","14160",""
"Lesotho","2012","2170",""
"Liberia","2012","580",""
"Lithuania","2012","23560",""
"Luxembourg","2012","60160",""
"Madagascar","2012","930",""
"Malawi","2012","730",""
"Malaysia","2012","16270",""
"Maldives","2012","7560",""
"Mali","2012","1140",""
"Malta","2012","27000",""
"Mauritania","2012","2480",""
"Mauritius","2012","15060",""
"Mexico","2012","16450",""
"Micronesia (Federated States of)","2012","3920",""
"Mongolia","2012","5020",""
"Montenegro","2012","14590",""
"Morocco","2012","5060",""
"Mozambique","2012","1000",""
"Namibia","2012","7240",""
"Nepal","2012","1470",""
"Netherlands","2012","43510",""
"Nicaragua","2012","3890",""
"Niger","2012","760",""
"Nigeria","2012","2450",""
"Norway","2012","66960",""
"Pakistan","2012","2880",""
"Palau","2012","16870",""
"Panama","2012","15150",""
"Papua New Guinea","2012","2740",""
"Paraguay","2012","5720",""
"Peru","2012","10090",""
"Philippines","2012","4380",""
"Poland","2012","21170",""
"Portugal","2012","24770",""
"Republic of Korea","2012","30970",""
"Republic of Moldova","2012","3630",""
"Romania","2012","16860",""
"Russian Federation","2012","22720",""
"Rwanda","2012","1320",""
"Saint Kitts and Nevis","2012","17630",""
"Saint Lucia","2012","11300",""
"Saint Vincent and the Grenadines","2012","10870",""
"Samoa","2012","4250",""
"Sao Tome and Principe","2012","1810",""
"Senegal","2012","1880",""
"Serbia","2012","11430",""
"Seychelles","2012","25740",""
"Sierra Leone","2012","1340",""
"Singapore","2012","60110",""
"Slovakia","2012","24770",""
"Slovenia","2012","27240",""
"Solomon Islands","2012","2130",""
"South Africa","2012","11010",""
"Spain","2012","31670",""
"Sri Lanka","2012","6030",""
"Sudan","2012","2070",""
"Suriname","2012","8380",""
"Swaziland","2012","4760",""
"Sweden","2012","43980",""
"Switzerland","2012","55090",""
"Syrian Arab Republic","2012","5120",""
"Tajikistan","2012","2180",""
"Thailand","2012","9280",""
"The former Yugoslav Republic of Macedonia","2012","11540",""
"Timor-Leste","2012","6230",""
"Togo","2012","900",""
"Tonga","2012","5020",""
"Trinidad and Tobago","2012","22860",""
"Tunisia","2012","9210",""
"Turkey","2012","18190",""
"Turkmenistan","2012","9070",""
"Uganda","2012","1120",""
"Ukraine","2012","7180",""
"United Kingdom","2012","37340",""
"United Republic of Tanzania","2012","1560",""
"United States of America","2012","52610",""
"Uruguay","2012","15310",""
"Uzbekistan","2012","3670",""
"Vanuatu","2012","4300",""
"Venezuela (Bolivarian Republic of)","2012","12920",""
"Viet Nam","2012","3620",""
"Yemen","2012","2310",""
"Zambia","2012","1590",""

