"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","29825",""
"Albania","2012","3162",""
"Algeria","2012","38482",""
"Andorra","2012","78",""
"Angola","2012","20821",""
"Antigua and Barbuda","2012","89",""
"Argentina","2012","41087",""
"Armenia","2012","2969",""
"Australia","2012","23050",""
"Austria","2012","8464",""
"Azerbaijan","2012","9309",""
"Bahamas","2012","372",""
"Bahrain","2012","1318",""
"Bangladesh","2012","155000",""
"Barbados","2012","283",""
"Belarus","2012","9405",""
"Belgium","2012","11060",""
"Belize","2012","324",""
"Benin","2012","10051",""
"Bhutan","2012","742",""
"Bolivia (Plurinational State of)","2012","10496",""
"Bosnia and Herzegovina","2012","3834",""
"Botswana","2012","2004",""
"Brazil","2012","199000",""
"Brunei Darussalam","2012","412",""
"Bulgaria","2012","7278",""
"Burkina Faso","2012","16460",""
"Burundi","2012","9850",""
"Cabo Verde","2012","494",""
"Cambodia","2012","14865",""
"Cameroon","2012","21700",""
"Canada","2012","34838",""
"Central African Republic","2012","4525",""
"Chad","2012","12448",""
"Chile","2012","17465",""
"China","2012","1390000",""
"Colombia","2012","47704",""
"Comoros","2012","718",""
"Congo","2012","4337",""
"Cook Islands","2012","21",""
"Costa Rica","2012","4805",""
"Côte d’Ivoire","2012","19840",""
"Croatia","2012","4307",""
"Cuba","2012","11271",""
"Cyprus","2012","1129",""
"Czech Republic","2012","10660",""
"Democratic People's Republic of Korea","2012","24763",""
"Democratic Republic of the Congo","2012","65705",""
"Denmark","2012","5598",""
"Djibouti","2012","860",""
"Dominica","2012","72",""
"Dominican Republic","2012","10277",""
"Ecuador","2012","15492",""
"Egypt","2012","80722",""
"El Salvador","2012","6297",""
"Equatorial Guinea","2012","736",""
"Eritrea","2012","6131",""
"Estonia","2012","1291",""
"Ethiopia","2012","91729",""
"Fiji","2012","875",""
"Finland","2012","5408",""
"France","2012","63937",""
"Gabon","2012","1633",""
"Gambia","2012","1791",""
"Georgia","2012","4358",""
"Germany","2012","82800",""
"Ghana","2012","25366",""
"Greece","2012","11125",""
"Grenada","2012","105",""
"Guatemala","2012","15083",""
"Guinea","2012","11451",""
"Guinea-Bissau","2012","1664",""
"Guyana","2012","795",""
"Haiti","2012","10174",""
"Honduras","2012","7936",""
"Hungary","2012","9976",""
"Iceland","2012","326",""
"India","2012","1240000",""
"Indonesia","2012","247000",""
"Iran (Islamic Republic of)","2012","76424",""
"Iraq","2012","32778",""
"Ireland","2012","4576",""
"Israel","2012","7644",""
"Italy","2012","60885",""
"Jamaica","2012","2769",""
"Japan","2012","127000",""
"Jordan","2012","7009",""
"Kazakhstan","2012","16271",""
"Kenya","2012","43178",""
"Kiribati","2012","101",""
"Kuwait","2012","3250",""
"Kyrgyzstan","2012","5474",""
"Lao People's Democratic Republic","2012","6646",""
"Latvia","2012","2060",""
"Lebanon","2012","4647",""
"Lesotho","2012","2052",""
"Liberia","2012","4190",""
"Libya","2012","6155",""
"Lithuania","2012","3028",""
"Luxembourg","2012","524",""
"Madagascar","2012","22294",""
"Malawi","2012","15906",""
"Malaysia","2012","29240",""
"Maldives","2012","338",""
"Mali","2012","14854",""
"Malta","2012","428",""
"Marshall Islands","2012","53",""
"Mauritania","2012","3796",""
"Mauritius","2012","1240",""
"Mexico","2012","121000",""
"Micronesia (Federated States of)","2012","103",""
"Monaco","2012","38",""
"Mongolia","2012","2796",""
"Montenegro","2012","621",""
"Morocco","2012","32521",""
"Mozambique","2012","25203",""
"Myanmar","2012","52797",""
"Namibia","2012","2259",""
"Nauru","2012","10",""
"Nepal","2012","27474",""
"Netherlands","2012","16714",""
"New Zealand","2012","4460",""
"Nicaragua","2012","5992",""
"Niger","2012","17157",""
"Nigeria","2012","169000",""
"Niue","2012","1",""
"Norway","2012","4994",""
"Oman","2012","3314",""
"Pakistan","2012","179000",""
"Palau","2012","21",""
"Panama","2012","3802",""
"Papua New Guinea","2012","7167",""
"Paraguay","2012","6687",""
"Peru","2012","29988",""
"Philippines","2012","96707",""
"Poland","2012","38211",""
"Portugal","2012","10604",""
"Qatar","2012","2051",""
"Republic of Korea","2012","49003",""
"Republic of Moldova","2012","3514",""
"Romania","2012","21755",""
"Russian Federation","2012","143000",""
"Rwanda","2012","11458",""
"Saint Kitts and Nevis","2012","54",""
"Saint Lucia","2012","181",""
"Saint Vincent and the Grenadines","2012","109",""
"Samoa","2012","189",""
"San Marino","2012","31",""
"Sao Tome and Principe","2012","188",""
"Saudi Arabia","2012","28288",""
"Senegal","2012","13726",""
"Serbia","2012","9553",""
"Seychelles","2012","92",""
"Sierra Leone","2012","5979",""
"Singapore","2012","5303",""
"Slovakia","2012","5446",""
"Slovenia","2012","2068",""
"Solomon Islands","2012","550",""
"Somalia","2012","10195",""
"South Africa","2012","52386",""
"South Sudan","2012","10838",""
"Spain","2012","46755",""
"Sri Lanka","2012","21098",""
"Sudan","2012","37195",""
"Suriname","2012","535",""
"Swaziland","2012","1231",""
"Sweden","2012","9511",""
"Switzerland","2012","7997",""
"Syrian Arab Republic","2012","21890",""
"Tajikistan","2012","8009",""
"Thailand","2012","66785",""
"The former Yugoslav Republic of Macedonia","2012","2106",""
"Timor-Leste","2012","1114",""
"Togo","2012","6643",""
"Tonga","2012","105",""
"Trinidad and Tobago","2012","1337",""
"Tunisia","2012","10875",""
"Turkey","2012","73997",""
"Turkmenistan","2012","5173",""
"Tuvalu","2012","10",""
"Uganda","2012","36346",""
"Ukraine","2012","45530",""
"United Arab Emirates","2012","9206",""
"United Kingdom","2012","62783",""
"United Republic of Tanzania","2012","47783",""
"United States of America","2012","318000",""
"Uruguay","2012","3395",""
"Uzbekistan","2012","28541",""
"Vanuatu","2012","247",""
"Venezuela (Bolivarian Republic of)","2012","29955",""
"Viet Nam","2012","90796",""
"Yemen","2012","23852",""
"Zambia","2012","14075",""
"Zimbabwe","2012","13724",""

