"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","24",""
"Albania","2012","55",""
"Algeria","2012","74",""
"Angola","2012","60",""
"Antigua and Barbuda","2012","30",""
"Argentina","2012","93",""
"Armenia","2012","64",""
"Australia","2012","89",""
"Austria","2012","68",""
"Azerbaijan","2012","54",""
"Bahamas","2012","84",""
"Bahrain","2012","89",""
"Bangladesh","2012","29",""
"Barbados","2012","45",""
"Belarus","2012","75",""
"Belgium","2012","98",""
"Belize","2012","45",""
"Benin","2012","46",""
"Bhutan","2012","36",""
"Bolivia (Plurinational State of)","2012","67",""
"Bosnia and Herzegovina","2012","49",""
"Botswana","2012","62",""
"Brazil","2012","85",""
"Brunei Darussalam","2012","76",""
"Bulgaria","2012","74",""
"Burkina Faso","2012","27",""
"Burundi","2012","11",""
"Cabo Verde","2012","63",""
"Cambodia","2012","20",""
"Cameroon","2012","53",""
"Canada","2012","81",""
"Central African Republic","2012","39",""
"Chad","2012","22",""
"Chile","2012","89",""
"China","2012","52",""
"Colombia","2012","76",""
"Comoros","2012","28",""
"Congo","2012","64",""
"Costa Rica","2012","65",""
"Côte d’Ivoire","2012","52",""
"Croatia","2012","58",""
"Cuba","2012","75",""
"Cyprus","2012","71",""
"Czech Republic","2012","73",""
"Democratic People's Republic of Korea","2012","60",""
"Democratic Republic of the Congo","2012","35",""
"Denmark","2012","87",""
"Djibouti","2012","77",""
"Dominican Republic","2012","70",""
"Ecuador","2012","68",""
"Egypt","2012","44",""
"El Salvador","2012","65",""
"Equatorial Guinea","2012","40",""
"Eritrea","2012","22",""
"Estonia","2012","70",""
"Ethiopia","2012","17",""
"Fiji","2012","53",""
"Finland","2012","84",""
"France","2012","86",""
"Gabon","2012","87",""
"Gambia","2012","58",""
"Georgia","2012","53",""
"Germany","2012","74",""
"Ghana","2012","53",""
"Greece","2012","62",""
"Grenada","2012","39",""
"Guatemala","2012","50",""
"Guinea","2012","36",""
"Guinea-Bissau","2012","45",""
"Guyana","2012","28",""
"Haiti","2012","55",""
"Honduras","2012","53",""
"Hungary","2012","70",""
"Iceland","2012","94",""
"India","2012","32",""
"Indonesia","2012","51",""
"Iran (Islamic Republic of)","2012","69",""
"Iraq","2012","66",""
"Ireland","2012","62",""
"Israel","2012","92",""
"Italy","2012","69",""
"Jamaica","2012","52",""
"Japan","2012","92",""
"Jordan","2012","83",""
"Kazakhstan","2012","53",""
"Kenya","2012","24",""
"Kiribati","2012","44",""
"Kuwait","2012","98",""
"Kyrgyzstan","2012","35",""
"Lao People's Democratic Republic","2012","35",""
"Latvia","2012","68",""
"Lebanon","2012","87",""
"Lesotho","2012","28",""
"Liberia","2012","49",""
"Libya","2012","78",""
"Lithuania","2012","67",""
"Luxembourg","2012","86",""
"Madagascar","2012","33",""
"Malawi","2012","16",""
"Malaysia","2012","73",""
"Maldives","2012","42",""
"Mali","2012","36",""
"Malta","2012","95",""
"Mauritania","2012","42",""
"Mauritius","2012","42",""
"Mexico","2012","78",""
"Micronesia (Federated States of)","2012","23",""
"Mongolia","2012","69",""
"Montenegro","2012","63",""
"Morocco","2012","57",""
"Mozambique","2012","31",""
"Myanmar","2012","33",""
"Namibia","2012","39",""
"Nepal","2012","17",""
"Netherlands","2012","84",""
"New Zealand","2012","86",""
"Nicaragua","2012","58",""
"Niger","2012","18",""
"Nigeria","2012","50",""
"Norway","2012","80",""
"Oman","2012","74",""
"Pakistan","2012","37",""
"Panama","2012","76",""
"Papua New Guinea","2012","13",""
"Paraguay","2012","62",""
"Peru","2012","78",""
"Philippines","2012","49",""
"Poland","2012","61",""
"Portugal","2012","62",""
"Qatar","2012","99",""
"Republic of Korea","2012","83",""
"Republic of Moldova","2012","48",""
"Romania","2012","53",""
"Russian Federation","2012","74",""
"Rwanda","2012","19",""
"Saint Lucia","2012","17",""
"Saint Vincent and the Grenadines","2012","50",""
"Samoa","2012","20",""
"Sao Tome and Principe","2012","63",""
"Saudi Arabia","2012","83",""
"Senegal","2012","43",""
"Serbia","2012","57",""
"Seychelles","2012","54",""
"Sierra Leone","2012","40",""
"Singapore","2012","100",""
"Slovakia","2012","55",""
"Slovenia","2012","50",""
"Solomon Islands","2012","21",""
"Somalia","2012","38",""
"South Africa","2012","62",""
"South Sudan","2012","18",""
"Spain","2012","78",""
"Sri Lanka","2012","15",""
"Sudan","2012","33",""
"Suriname","2012","70",""
"Swaziland","2012","21",""
"Sweden","2012","85",""
"Switzerland","2012","74",""
"Syrian Arab Republic","2012","56",""
"Tajikistan","2012","27",""
"Thailand","2012","34",""
"The former Yugoslav Republic of Macedonia","2012","59",""
"Timor-Leste","2012","29",""
"Togo","2012","38",""
"Tonga","2012","24",""
"Trinidad and Tobago","2012","14",""
"Tunisia","2012","67",""
"Turkey","2012","72",""
"Turkmenistan","2012","49",""
"Uganda","2012","16",""
"Ukraine","2012","69",""
"United Arab Emirates","2012","85",""
"United Kingdom","2012","80",""
"United Republic of Tanzania","2012","27",""
"United States of America","2012","83",""
"Uruguay","2012","93",""
"Uzbekistan","2012","36",""
"Vanuatu","2012","25",""
"Venezuela (Bolivarian Republic of)","2012","94",""
"Viet Nam","2012","32",""
"Yemen","2012","33",""
"Zambia","2012","40",""
"Zimbabwe","2012","39",""

